Address,USB0::0x0957::0x0D09::MY46110147::0::INSTR,,Trace ID: ,Tr1 - S11,
Model,E5071C,,Trace Channel: ,1,
Serial Number:,MY46110147,,Total Samples per Trace: ,801,
Firmware Version,A.11.34,,Center Frequency: ,5 GHz,
Start Time,10:12.3,,Span Frequency: ,4 GHz,
Capture Time,10:13.2,,Bandwidth: ,10 kHz,
,,,Format: ,Log Mag,
,,,Sweep Type: ,Lin Freq,
,,,Power: ,0 dBm,
,,,,,
,,,,,
,,,,,
,,,Formatted,Data,
,,,X Axis Value,Trc1 FDATA Capture8Real,Imaginary
,,,3000000000,-1.337676979,0
,,,3005000000,-1.315129357,0
,,,3010000000,-1.293389828,0
,,,3015000000,-1.267112293,0
,,,3020000000,-1.244664355,0
,,,3025000000,-1.221302039,0
,,,3030000000,-1.200707722,0
,,,3035000000,-1.179295001,0
,,,3040000000,-1.157428756,0
,,,3045000000,-1.141175091,0
,,,3050000000,-1.124961587,0
,,,3055000000,-1.110295137,0
,,,3060000000,-1.098228929,0
,,,3065000000,-1.083555865,0
,,,3070000000,-1.072525256,0
,,,3075000000,-1.058290671,0
,,,3080000000,-1.043866384,0
,,,3085000000,-1.02996769,0
,,,3090000000,-1.015391564,0
,,,3095000000,-0.999260121,0
,,,3100000000,-0.985500497,0
,,,3105000000,-0.972598245,0
,,,3110000000,-0.958711134,0
,,,3115000000,-0.946098394,0
,,,3120000000,-0.932921927,0
,,,3125000000,-0.923672933,0
,,,3130000000,-0.916301916,0
,,,3135000000,-0.910302345,0
,,,3140000000,-0.908451253,0
,,,3145000000,-0.908333496,0
,,,3150000000,-0.910963022,0
,,,3155000000,-0.914937374,0
,,,3160000000,-0.916044242,0
,,,3165000000,-0.923905048,0
,,,3170000000,-0.930512749,0
,,,3175000000,-0.931358766,0
,,,3180000000,-0.938460302,0
,,,3185000000,-0.942390129,0
,,,3190000000,-0.94958209,0
,,,3195000000,-0.95057109,0
,,,3200000000,-0.957384863,0
,,,3205000000,-0.96771864,0
,,,3210000000,-0.975656734,0
,,,3215000000,-0.989732249,0
,,,3220000000,-1.006650256,0
,,,3225000000,-1.021721851,0
,,,3230000000,-1.045603227,0
,,,3235000000,-1.071142977,0
,,,3240000000,-1.101239906,0
,,,3245000000,-1.133087076,0
,,,3250000000,-1.16564659,0
,,,3255000000,-1.196888013,0
